Transaction Name,Transaction Name URL,Acquired Organization Name,Acquired Organization Name URL,Acquiring Organization Name,Acquiring Organization Name URL,Announced Date,Announced Date Precision
21st Century Fox acquired by The Walt Disney Company,https://www.crunchbase.com/acquisition/the-walt-disney-company-acquires-21st-century-fox--e57ad957,21st Century Fox,https://www.crunchbase.com/organization/21st-century-fox,The Walt Disney Company,https://www.crunchbase.com/organization/the-walt-disney-company,12/14/17,day
BAMTECH Media acquired by The Walt Disney Company,https://www.crunchbase.com/acquisition/the-walt-disney-company-acquires-bamtech--295acd77,BAMTECH Media,https://www.crunchbase.com/organization/bamtech,The Walt Disney Company,https://www.crunchbase.com/organization/the-walt-disney-company,8/8/17,day
Playdom acquired by The Walt Disney Company,https://www.crunchbase.com/acquisition/the-walt-disney-company-acquires-playdom--a8531cc9,Playdom,https://www.crunchbase.com/organization/playdom,The Walt Disney Company,https://www.crunchbase.com/organization/the-walt-disney-company,7/27/10,day
UTV Software Communications acquired by The Walt Disney Company,https://www.crunchbase.com/acquisition/the-walt-disney-company-acquires-utv-software-communications--eed19c2a,UTV Software Communications,https://www.crunchbase.com/organization/utv-software-communications,The Walt Disney Company,https://www.crunchbase.com/organization/the-walt-disney-company,2/1/12,day
Hungama TV acquired by The Walt Disney Company,https://www.crunchbase.com/acquisition/the-walt-disney-company-acquires-hungama-tv--cd5fe658,Hungama TV,https://www.crunchbase.com/organization/hungama-tv,The Walt Disney Company,https://www.crunchbase.com/organization/the-walt-disney-company,7/25/06,day
Baby Einstein acquired by The Walt Disney Company,https://www.crunchbase.com/acquisition/the-walt-disney-company-acquires-baby-einstein--101627ea,Baby Einstein,https://www.crunchbase.com/organization/baby-einstein,The Walt Disney Company,https://www.crunchbase.com/organization/the-walt-disney-company,11/6/01,day
Jetix acquired by The Walt Disney Company,https://www.crunchbase.com/acquisition/the-walt-disney-company-acquires-jetix--a7154acd,Jetix,https://www.crunchbase.com/organization/jetix,The Walt Disney Company,https://www.crunchbase.com/organization/the-walt-disney-company,12/7/08,day
Pixar Animation Studios acquired by The Walt Disney Company,https://www.crunchbase.com/acquisition/the-walt-disney-company-acquires-pixar--c2f8acd6,Pixar Animation Studios,https://www.crunchbase.com/organization/pixar,The Walt Disney Company,https://www.crunchbase.com/organization/the-walt-disney-company,1/24/06,day
Tapulous acquired by The Walt Disney Company,https://www.crunchbase.com/acquisition/the-walt-disney-company-acquires-tapulous--c0605c03,Tapulous,https://www.crunchbase.com/organization/tapulous,The Walt Disney Company,https://www.crunchbase.com/organization/the-walt-disney-company,7/1/10,day
Rocket Pack acquired by The Walt Disney Company,https://www.crunchbase.com/acquisition/the-walt-disney-company-acquires-rocket-pack--7fb46119,Rocket Pack,https://www.crunchbase.com/organization/rocket-pack,The Walt Disney Company,https://www.crunchbase.com/organization/the-walt-disney-company,3/3/11,day
Kaboose acquired by The Walt Disney Company,https://www.crunchbase.com/acquisition/the-walt-disney-company-acquires-kaboose--46ee9fa2,Kaboose,https://www.crunchbase.com/organization/kaboose,The Walt Disney Company,https://www.crunchbase.com/organization/the-walt-disney-company,4/1/09,day
Club Penguin acquired by The Walt Disney Company,https://www.crunchbase.com/acquisition/the-walt-disney-company-acquires-clubpenguin--d29b1b6e,Club Penguin,https://www.crunchbase.com/organization/clubpenguin,The Walt Disney Company,https://www.crunchbase.com/organization/the-walt-disney-company,8/1/07,month
Fox Family Worldwide acquired by The Walt Disney Company,https://www.crunchbase.com/acquisition/the-walt-disney-company-acquires-fox-family-worldwide--2bd083af,Fox Family Worldwide,https://www.crunchbase.com/organization/fox-family-worldwide,The Walt Disney Company,https://www.crunchbase.com/organization/the-walt-disney-company,7/23/01,day
Babble acquired by The Walt Disney Company,https://www.crunchbase.com/acquisition/the-walt-disney-company-acquires-babble--3ab90e9e,Babble,https://www.crunchbase.com/organization/babble,The Walt Disney Company,https://www.crunchbase.com/organization/the-walt-disney-company,11/14/11,day
Maker Studios acquired by The Walt Disney Company,https://www.crunchbase.com/acquisition/the-walt-disney-company-acquires-maker-studios--62fb2920,Maker Studios,https://www.crunchbase.com/organization/maker-studios,The Walt Disney Company,https://www.crunchbase.com/organization/the-walt-disney-company,3/24/14,day
FanLib acquired by The Walt Disney Company,https://www.crunchbase.com/acquisition/the-walt-disney-company-acquires-fanlib--d584eea2,FanLib,https://www.crunchbase.com/organization/fanlib,The Walt Disney Company,https://www.crunchbase.com/organization/the-walt-disney-company,8/31/08,day
ABC acquired by The Walt Disney Company,https://www.crunchbase.com/acquisition/the-walt-disney-company-acquires-abc--6b5fc024,ABC,https://www.crunchbase.com/organization/abc,The Walt Disney Company,https://www.crunchbase.com/organization/the-walt-disney-company,8/5/95,day
Jumbo Pictures acquired by The Walt Disney Company,https://www.crunchbase.com/acquisition/the-walt-disney-company-acquires-jumbo-pictures--ff3fc5ca,Jumbo Pictures,https://www.crunchbase.com/organization/jumbo-pictures,The Walt Disney Company,https://www.crunchbase.com/organization/the-walt-disney-company,1/1/96,month
infoseek acquired by The Walt Disney Company,https://www.crunchbase.com/acquisition/the-walt-disney-company-acquires-infoseek--1afeb19f,infoseek,https://www.crunchbase.com/organization/infoseek,The Walt Disney Company,https://www.crunchbase.com/organization/the-walt-disney-company,7/12/99,day
Marvel Entertainment acquired by The Walt Disney Company,https://www.crunchbase.com/acquisition/the-walt-disney-company-acquires-marvel-entertainment--ae3ca05e,Marvel Entertainment,https://www.crunchbase.com/organization/marvel-entertainment,The Walt Disney Company,https://www.crunchbase.com/organization/the-walt-disney-company,8/31/09,day
MakieLab acquired by The Walt Disney Company,https://www.crunchbase.com/acquisition/the-walt-disney-company-acquires-makielab--c8e28b12,MakieLab,https://www.crunchbase.com/organization/makielab,The Walt Disney Company,https://www.crunchbase.com/organization/the-walt-disney-company,2/22/17,day
Minds Eye Productions acquired by The Walt Disney Company,https://www.crunchbase.com/acquisition/the-walt-disney-company-acquires-minds-eye-productions--24366f6b,Minds Eye Productions,https://www.crunchbase.com/organization/minds-eye-productions,The Walt Disney Company,https://www.crunchbase.com/organization/the-walt-disney-company,6/8/05,day
Ideal Bite acquired by The Walt Disney Company,https://www.crunchbase.com/acquisition/the-walt-disney-company-acquires-ideal-bite--7f0cabfc,Ideal Bite,https://www.crunchbase.com/organization/ideal-bite,The Walt Disney Company,https://www.crunchbase.com/organization/the-walt-disney-company,6/12/08,day
Living Mobile acquired by The Walt Disney Company,https://www.crunchbase.com/acquisition/the-walt-disney-company-acquires-living-mobile--c44e56fb,Living Mobile,https://www.crunchbase.com/organization/living-mobile,The Walt Disney Company,https://www.crunchbase.com/organization/the-walt-disney-company,11/7/05,day
Lucasfilm acquired by The Walt Disney Company,https://www.crunchbase.com/acquisition/the-walt-disney-company-acquires-lucasfilm--14de7417,Lucasfilm,https://www.crunchbase.com/organization/lucasfilm,The Walt Disney Company,https://www.crunchbase.com/organization/the-walt-disney-company,10/30/12,day
Kerpoof acquired by The Walt Disney Company,https://www.crunchbase.com/acquisition/the-walt-disney-company-acquires-kerpoof--8b1398b2,Kerpoof,https://www.crunchbase.com/organization/kerpoof,The Walt Disney Company,https://www.crunchbase.com/organization/the-walt-disney-company,2/19/09,day
